AÑO,CATEGORIAS,COMUNIDAD AUTONOMA,CANTIDAD
2003,RESTO FRUTA CONSER,ESPAÑA,9611.32
2003,VERD./HORT.CONGELAD,ESPAÑA,141531.80000000002
2003,FRUTAS CONGELADAS,ESPAÑA,79.43
2003,P.P.CONSERVA CARNE,ESPAÑA,33141.7
2003,P.P.CONSERV PESCADO,ESPAÑA,187.39999999999998
2003,P.P.CONGELADO CARNE,ESPAÑA,19098.95
2003,P.P.CONGEL.PESCADO,ESPAÑA,36914.619999999995
2003,P.P.CONGEL.VEGETAL,ESPAÑA,16292.55
2003,OTROS P.P.CONGELADO,ESPAÑA,25942.38
2003,P.P.SOPAS Y CREMAS,ESPAÑA,124264.75
2003,P.P.PIZZA,ESPAÑA,59827.91000000001
2003,PLAT.PREP.OTROS,ESPAÑA,33651.880000000005
2003,CAFE G. O M.TORREFAC,ESPAÑA,1283.31
2003,CAFE G. O M.NATURAL,ESPAÑA,22247.329999999998
2003,CAFE G. O M.MEZCLA,ESPAÑA,24167.510000000002
2003,CAFE G. O M.DESCA,ESPAÑA,9406.93
2003,CAFE SOLUBLE,ESPAÑA,8252.170000000002
2003,SUCEDANEOS DE CAFE,ESPAÑA,2074.58
2003,TE,ESPAÑA,760.8299999999999
2003,MANZANILLA,ESPAÑA,644.3100000000001
2003,POLEO,ESPAÑA,357.1
2003,OTRAS INFUSIONES,ESPAÑA,1068.15
2003,CALDOS,ESPAÑA,7901.91
2003,SALSAS,ESPAÑA,69911.94
2003,AGUA DE BEBIDA ENVAS.,ESPAÑA,1896004.12
2003,GASEOSAS Y BEBID.REFR,ESPAÑA,1693681.35
2003,OTROS PROD.EN PESO,ESPAÑA,245406.47
2003,OTROS PROD.EN VOLUMEN,ESPAÑA,117813.85
2004,T.HUEVOS KGS,ESPAÑA,414273.2899999999
2004,OTRAS AVES,ESPAÑA,73141.63
2004,MIEL,ESPAÑA,20888.97
2004,CARNE VACUNO,ESPAÑA,328627.04
2004,CARNE POLLO,ESPAÑA,579556.0900000001
2004,CARNE CONEJO,ESPAÑA,59716.799999999996
2004,CARNE OVINO/CAPRINO,ESPAÑA,117960.34
2004,CARNE CERDO,ESPAÑA,471923.37999999995
2004,CARNE DESPOJOS,ESPAÑA,48209.29
2004,OTRAS CARNES FRESCA,ESPAÑA,118891.61000000002
2004,AVESTRUZ,ESPAÑA,119.95000000000002
2004,PAVO,ESPAÑA,31764.729999999996
